ID,z,lgMstar,SFR_case,SFR_source,SFR,e_SFR,SFR_censored,SFR_limit,MHI,e_MHI,MHI_censored,MHI_limit
108046,0.014447,9.622297999999999,1,xGASS,0.19719376,0.12183393,False,.,688254686.3432614,96937279.76665653,False,0.0
108044,0.01898,9.037071000000001,1,xGASS,0.06452408400000001,0.09271375,True,0.09271375,978379434.0291706,116078915.90176602,False,0.0
108113,0.019894,9.879421,9,xGASS,.,.,False,.,2909700866.4420714,290970086.6442071,False,0.0
108007,0.01487,9.516364,1,xGASS,0.30375785,0.12474982400000001,False,.,1005591029.280786,133394728.37398182,False,0.0
108045,0.015030000000000002,10.084085,9,xGASS,.,.,False,.,7828436145.54749,806947233.2090452,False,0.0
108142,0.018993,9.614460000000001,9,xGASS,.,.,False,.,2789640401.603115,232470033.46692628,False,0.0
108050,0.01627,9.749454,1,xGASS,0.72814006,0.15741247,False,.,1764060981.669949,220507622.70874363,False,0.0
108114,0.01303087,9.674735,9,xGASS,.,.,False,.,0.0,17825018.76267492,True,89125093.8133746
108072,0.013656,9.980089,1,xGASS,0.40669948,0.14216785,False,.,737358953.9518907,121447357.1214879,False,0.0
108058,0.019781523999999998,10.120649,1,xGASS,0.33671436,0.1387624,False,.,0.0,54831483.438557506,True,274157417.1927875
108097,0.014159999999999999,9.344268,2,xGASS,0.055054404,0.07178093,True,0.07178093,139765189.7088288,27953037.94176576,False,0.0
108055,0.013824495,10.037925,2,xGASS,0.010115497,0.04432427,True,0.04432427,0.0,43957197.45569655,True,219785987.27848276
108053,0.012915095,9.459672,9,xGASS,.,.,False,.,0.0,23282520.588209864,True,116412602.94104932
108006,0.014916996,9.295259,9,xGASS,.,.,False,.,0.0,20138633.377036087,True,100693166.88518044
108024,0.015481,9.451381,9,xGASS,.,.,False,.,2521590047.27248,188841545.39045006,False,0.0
108061,0.013620749,10.172151,2,xGASS,0.032197252,0.06815612,True,0.06815612,0.0,44466197.8130282,True,222330989.065141
108064,0.01494,9.562119500000001,1,xGASS,0.37940085,0.10952574,False,.,3293379549.0990434,434974657.4281755,False,0.0
108101,0.015252468,9.990722,1,xGASS,0.12295787,0.082733385,False,.,0.0,42660898.26293159,True,213304491.31465796
51899,0.039004000000000004,10.009,9,xGASS,.,.,False,.,7479096349.4633665,623258029.1219472,False,0.0
108026,0.018313,9.837106,1,xGASS,2.0134792,0.19758694,False,.,9645732451.4948,92747427.41821922,False,0.0
108016,0.011768,9.567883,1,xGASS,0.60681814,0.110930145,False,.,5483192586.341372,38796173.95996253,False,0.0
108088,0.015156999999999999,9.511553999999999,9,xGASS,.,.,False,.,1108122110.3982582,95895182.6306185,False,0.0
108093,0.016775,9.9385,1,xGASS,0.67424375,0.14390537,False,.,1144859568.302682,130097678.21621385,False,0.0
16479,0.046830000000000004,11.038,1,xGASS,0.9366597,0.28224412,False,.,22773227077.893784,1485210461.6017685,False,0.0
52045,0.041499,10.174,1,xGASS,1.9563462999999999,0.33109325,False,.,6335047392.072906,625683693.0442375,False,0.0
19918,0.046475,10.822000000000001,1,xGASS,1.8060236,0.30198379999999997,False,.,24292303689.708855,1268272883.3984542,False,0.0
32308,0.029283999999999998,10.016,2,xGASS,0.32434133,0.12620883,False,.,1020228767.2188793,196197839.8497845,False,0.0
108140,0.018499,9.014456,2,xGASS,0.06901304400000001,0.060976326,False,.,1340258048.2653842,157677417.4429864,False,0.0
108148,0.017292,9.49496,9,xGASS,.,.,False,.,5358276593.895472,82859947.32828048,False,0.0
108094,0.016775,9.678985,1,xGASS,1.4875541,0.17008159,False,.,8209163495.443093,104078142.57297108,False,0.0
108133,0.017215,9.765596,1,xGASS,0.71332216,0.13304801,False,.,1738547139.6447756,109514780.4500646,False,0.0
56486,0.036000000000000004,10.255,2,xGASS,0.16043784,0.12636323,False,.,0.0,91839602.5673739,True,459198012.8368695
56509,0.029791,10.484000000000002,2,xGASS,0.03384777,0.07040256,True,0.07040256,4060790326.961009,324863226.15688074,False,0.0
8096,0.034417,10.277999999999999,1,xGASS,0.9316095,0.2522345,False,.,4977563218.299992,703351324.3249987,False,0.0
19989,0.029674000000000002,10.46,9,xGASS,.,.,False,.,483482067.78244793,120870516.94561198,False,0.0
108021,0.017309,9.6382885,1,xGASS,0.50542873,0.14385267,False,.,857875133.0198882,96856869.85708416,False,0.0
108051,0.014033000000000002,9.111108,1,xGASS,0.060392104,0.028862417,False,.,164764477.51847234,27460746.25307872,False,0.0
108017,0.018609999999999998,9.912443,2,xGASS,0.056099105999999996,0.07300796,True,0.07300796,1084875734.1263456,95724329.48173636,False,0.0
52297,0.032899,10.49,2,xGASS,0.13337871,0.083862714,False,.,3116979185.8539467,494758600.9291979,False,0.0
108054,0.012525,9.925367,6,xGASS,.,.,False,.,3386251084.718715,65823455.210514985,False,0.0
19949,0.028980000000000002,10.689,1,xGASS,1.7647380000000001,0.26334113,False,.,8646686609.274872,461156619.16132647,False,0.0
16695,0.028125999999999998,10.066,1,xGASS,0.35105735,0.18210943,False,.,9773294618.812954,398171262.2479352,False,0.0
25752,0.036835,10.555,1,xGASS,2.3472967000000002,0.29263803,False,.,12993248618.238844,371235674.8068241,False,0.0
109129,0.01951,9.229953,1,xGASS,0.27503443,0.14787082,False,.,2485501962.8338027,192538884.44487205,False,0.0
109023,0.019163,10.1198,1,xGASS,0.70354295,0.13484997,False,.,10392236585.361961,152081511.00529698,False,0.0
109123,0.016585,9.370475,9,xGASS,.,.,False,.,8726937789.399652,127214836.58016987,False,0.0
56662,0.029924,10.245,1,xGASS,0.45699832,0.18713158,False,.,1147174334.1305325,204852559.66616654,False,0.0
56612,0.02903,10.267999999999999,9,xGASS,.,.,False,.,0.0,100700121.75758095,True,503500608.78790474
56650,0.02888,10.241,9,xGASS,.,.,False,.,0.0,99547416.99578741,True,497737084.9789371
109038,0.011598,9.207892,1,xGASS,0.73941845,0.10352375,False,.,1181142621.2755003,56544061.656805865,False,0.0
109101,0.010397,9.008194999999999,1,xGASS,0.13752554,0.049794298,False,.,1128576653.8690584,45547936.70323554,False,0.0
56632,0.02839,11.002,1,xGASS,0.89528644,0.21858892,False,.,2507890120.2933064,368807370.63136864,False,0.0
109022,0.012127008,9.811095,9,xGASS,.,.,False,.,0.0,24323720.012927406,True,121618600.06463704
16655,0.033366,10.630999999999998,1,xGASS,0.7620239999999999,0.24564397,False,.,10277568986.193903,610548652.6451824,False,0.0
109014,0.013970531999999999,9.872765,9,xGASS,.,.,False,.,0.0,30621749.233640634,True,153108746.16820318
20026,0.04571,10.462,9,xGASS,.,.,False,.,0.0,179899516.3060073,True,899497581.5300364
109083,0.018246000000000002,9.810083,1,xGASS,0.5000337,0.13049838,False,.,736657068.1505511,107429155.77195539,False,0.0
109018,0.012245,9.791553500000001,2,xGASS,0.020128326000000002,0.042856548,True,0.042856548,1098095616.9476092,48959677.18874691,False,0.0
109066,0.014907,9.985227,9,xGASS,.,.,False,.,2464450589.2604403,92803578.67507933,False,0.0
109009,0.018293,9.375553,9,xGASS,.,.,False,.,509017248.67335576,92548590.66788286,False,0.0
109060,0.0122122895,9.643737,9,xGASS,.,.,False,.,0.0,18924743.22731586,True,94623716.1365793
109134,0.016685,9.430802,1,xGASS,0.22612187,0.116017915,False,.,527785742.0428309,90109760.8365809,False,0.0
20041,0.030998,10.031,2,xGASS,0.09032118,0.10401509,True,0.10401509,1450486779.8158898,219770724.21452877,False,0.0
20042,0.046879000000000004,10.012,1,xGASS,1.9808753000000001,0.3286243,False,.,1091371281.6829205,198431142.12416738,False,0.0
109139,0.01877,9.591507,1,xGASS,0.8793913000000001,0.15028729,False,.,8225805122.104763,162244676.964591,False,0.0
109076,0.017572,9.718135,9,xGASS,.,.,False,.,8437776288.196071,156783005.35499457,False,0.0
109021,0.018663,9.541151,9,xGASS,.,.,False,.,256694189.47213838,48130160.52602594,False,0.0
16756,0.033260000000000005,10.427999999999999,9,xGASS,.,.,False,.,0.0,102336367.10806146,True,511681835.5403073
16753,0.03352,10.288,1,xGASS,1.493034,0.259916,False,.,410766389.5523185,102691597.38807963,False,0.0
16815,0.039284,10.626,2,xGASS,0.09502059,0.13672954,True,0.13672954,2949715620.517693,351156621.4902016,False,0.0
25851,0.048587,10.802999999999999,1,xGASS,2.174323,0.39724466,False,.,16838585246.283922,1172306567.7792604,False,0.0
109036,0.011621062,10.112569,9,xGASS,.,.,False,.,0.0,30692339.65598588,True,153461698.2799294
